[3-19][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-20][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-21][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-22][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-23][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-24][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-25][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-26][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-27][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-28][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-29][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-30][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-31][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-32][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-33][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-34][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-35][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-36][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-37][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-38][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-39][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-40][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-41][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-42][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-43][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-44][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
